0,7,3,073,10
2,3,7,237,12
0,7,1,071,8
2,0,4,204,6
3,7,4,374,14
1,2,8,128,11
8,4,9,849,21
8,5,2,852,15
1,5,5,155,11
7,9,5,795,21
2,1,7,217,10
4,8,2,482,14
9,8,6,986,23
2,3,2,232,7
8,7,1,871,16
1,7,1,171,9
1,0,2,102,3
1,7,8,178,16
4,4,6,446,14
7,3,7,737,17
8,5,9,859,22
9,4,7,947,20
6,8,1,681,15
1,9,7,197,17
5,1,3,513,9
7,8,0,780,15
2,4,8,248,14
8,1,0,810,9
9,5,3,953,17
5,2,5,525,12
5,1,1,511,7
1,3,3,133,7
9,6,4,964,19
7,3,4,734,14
9,1,2,912,12
3,3,4,334,10
7,0,6,706,13
5,1,6,516,12
6,2,2,622,10
3,0,5,305,8
4,3,6,436,13
1,1,6,116,8
1,9,0,190,10
0,8,2,082,10
0,9,8,098,17
6,4,6,646,16
1,1,8,118,10
4,0,9,409,13
8,3,0,830,11
3,5,2,352,10
4,7,6,476,17
5,6,5,565,16
3,5,2,352,10
4,5,7,457,16
0,3,7,037,10
7,3,3,733,13
7,6,3,763,16
8,0,0,800,8
8,1,8,818,17
6,9,2,692,17
8,7,8,878,23
3,4,1,341,8
4,0,8,408,12
7,7,9,779,23
8,5,2,852,15
1,2,1,121,4
6,5,7,657,18
4,8,2,482,14
8,7,4,874,19
9,3,3,933,15
8,3,0,830,11
2,2,2,222,6
7,0,8,708,15
3,1,9,319,13
2,7,6,276,15
8,6,7,867,21
2,3,9,239,14
2,7,3,273,12
1,3,2,132,6
4,4,3,443,11
5,5,6,556,16
4,6,0,460,10
3,1,5,315,9
0,8,3,083,11
1,0,6,106,7
2,9,9,299,20
2,8,3,283,13
7,7,5,775,19
9,5,6,956,20
5,5,3,553,13
3,6,0,360,9
4,3,5,435,12
2,1,8,218,11
2,8,3,283,13
7,8,6,786,21
4,2,7,427,13
1,5,5,155,11
1,5,9,159,15
9,1,3,913,13
6,3,5,635,14
2,2,4,224,8
0,1,2,012,3
0,8,8,088,16
8,1,8,818,17
9,3,3,933,15
2,8,7,287,17
3,1,4,314,8
5,8,4,584,17
6,2,5,625,13
3,4,4,344,11
0,9,1,091,10
9,9,0,990,18
2,1,1,211,4
4,9,3,493,16
0,3,2,032,5
8,8,8,888,24
8,4,2,842,14
4,4,8,448,16
0,7,5,075,12
7,7,0,770,14
3,8,1,381,12
4,9,4,494,17
2,6,5,265,13
0,4,2,042,6
5,3,3,533,11
0,0,5,005,5
4,2,4,424,10
8,1,3,813,12
7,2,7,727,16
3,2,8,328,13
3,8,7,387,18
7,7,3,773,17
5,7,4,574,16
8,4,1,841,13
0,7,8,078,15
2,0,6,206,8
8,6,0,860,14
4,9,3,493,16
1,8,4,184,13
6,5,1,651,12
4,6,1,461,11
2,4,7,247,13
3,5,7,357,15
3,2,3,323,8
2,1,3,213,6
2,0,8,208,10
6,8,3,683,17
7,9,3,793,19
0,9,4,094,13
4,9,0,490,13
3,9,6,396,18
9,9,2,992,20
9,0,9,909,18
